title,body,labels,milestone
"Initialize Project Repository","## Description
Set up the project with proper structure and tooling.

## Acceptance Criteria
- [ ] Initialize frontend framework (React/Next.js recommended)
- [ ] Set up TypeScript configuration
- [ ] Configure ESLint and Prettier
- [ ] Set up testing framework (Jest + React Testing Library)
- [ ] Create basic folder structure
- [ ] Add README with project overview

## Priority
High

## Type
Task","setup,infrastructure","Phase 1: Foundation"
"Define Data Models","## Description
Implement the core data models as defined in Part 6 of the strategy document.

## Acceptance Criteria
- [ ] Story model (id, title, premise, targetLength, form, pov, verificationQuestions, status)
- [ ] Bundle model (id, storyId, name, type, state, sources, extracts, claims)
- [ ] Bundle types: event, identity, quantity, attribution, sequence
- [ ] Reliability states: verified, sourced, unlinked, contested
- [ ] Source model (id, bundleId, type, title, date, url, notes)
- [ ] Claim model (id, bundleId, text, sourceIds)
- [ ] Beat model (id, storyId, name, order, description)
- [ ] Scene model (id, storyId, title, beatId, mode, sensoryAnchor, targetWordCount, bundleIds, order)
- [ ] Person model with arc tracking
- [ ] Theme model
- [ ] Manuscript and ManuscriptScene models
- [ ] EvidenceLink model with isInterpretation flag
- [ ] ReviewReport model

## Priority
High

## Type
Task","backend,data-model","Phase 1: Foundation"
"Set Up State Management","## Description
Implement state management for the application.

## Acceptance Criteria
- [ ] Choose state management solution (Zustand/Redux Toolkit recommended)
- [ ] Create stores for Story, Bundles, Scenes, Beats, Persons, and Themes
- [ ] Implement persistence layer (localStorage initially, IndexedDB later)
- [ ] Add undo/redo capability for editing actions

## Priority
High

## Type
Task","frontend,state","Phase 1: Foundation"
"Design System & UI Components","## Description
Create the foundational UI components and design tokens.

## Acceptance Criteria
- [ ] Set up component library (shadcn/ui or similar)
- [ ] Define color palette (including reliability state indicators)
- [ ] Create reliability state icons with accessible alternatives
- [ ] Implement 3 UI loudness levels (Quiet, Attentive, Alert)
- [ ] Create reusable Panel components for the layout

## Priority
Medium

## Type
Task","frontend,design","Phase 1: Foundation"
"Dashboard with Story Management","## Description
Build the main dashboard for managing stories.

## Acceptance Criteria
- [ ] Story list view
- [ ] Create new story
- [ ] Open existing story
- [ ] Delete story
- [ ] Story status indicators

## Priority
High

## Type
Feature","frontend,ui","Phase 1: Foundation"
"SEED Mode Intent Form","## Description
Build the SEED mode interface for capturing story intent.

## Acceptance Criteria
- [ ] Title field (required)
- [ ] Premise field (1-3 sentences, required)
- [ ] Target length selector (optional - advisory only)
- [ ] Form selector (Reported / Personal essay / Hybrid / Other)
- [ ] POV selector (First / Third limited / Third omniscient / Braided)
- [ ] Verification questions list (what must be verified)
- [ ] Output: Story Intent Card that guides subsequent modes

## Priority
High

## Type
Feature","seed-mode,ui","Phase 1: Foundation"
"Mode Navigation","## Description
Implement seamless mode switching.

## Acceptance Criteria
- [ ] Clear mode indicator: SEED → SHAPE → DRAFT → TEST
- [ ] Preserve state when switching modes
- [ ] Handle incomplete data gracefully (system degrades gracefully)

## Priority
High

## Type
Feature","frontend,navigation","Phase 1: Foundation"
"Bundle CRUD","## Description
Implement evidence bundle management.

## Acceptance Criteria
- [ ] Create evidence bundles manually
- [ ] Assign bundle type (EVT, ID, QTY, ATTR, SEQ)
- [ ] Track reliability state (verified, sourced, unlinked, contested)
- [ ] Edit and delete bundles
- [ ] Add key extracts to bundles

## Priority
High

## Type
Feature","shape-mode,evidence","Phase 2: Evidence Layer"
"Source Management","## Description
Implement source import and management.

## Acceptance Criteria
- [ ] Add sources to bundles
- [ ] Source types: web, document, interview, personal, other
- [ ] Store source metadata (title, date, url, notes)
- [ ] Link sources to claims
- [ ] Paste URL and extract content
- [ ] Paste notes directly

## Priority
High

## Type
Feature","shape-mode,sources","Phase 2: Evidence Layer"
"Claims Management","## Description
Implement claim tracking within bundles.

## Acceptance Criteria
- [ ] Add claims to bundles
- [ ] Link claims to sources
- [ ] Display claims with source attribution
- [ ] Bundle summary showing reliability state

## Priority
High

## Type
Feature","shape-mode,evidence","Phase 2: Evidence Layer"
"Scene Structure","## Description
Implement scene creation and management.

## Acceptance Criteria
- [ ] Create scenes with titles
- [ ] Optional word count targets (advisory only)
- [ ] Scene mode (showing / telling / mixed)
- [ ] Sensory anchor field
- [ ] Reorder scenes with drag-and-drop
- [ ] Link bundles to scenes

## Priority
High

## Type
Feature","shape-mode,structure","Phase 2: Evidence Layer"
"SHAPE Mode Three-Panel Layout","## Description
Build the SHAPE mode interface.

## Acceptance Criteria
- [ ] Left Panel: Evidence Bundles list
- [ ] Center Panel: Structure Board (scenes + beats)
- [ ] Right Panel: Bundle/Scene detail view
- [ ] Drag-and-drop between panels

## Priority
High

## Type
Feature","shape-mode,ui","Phase 2: Evidence Layer"
"Beat Definitions","## Description
Implement beat management for narrative structure.

## Acceptance Criteria
- [ ] Create custom beats (or use defaults from frameworks)
- [ ] Beat order management
- [ ] Beat descriptions
- [ ] Default beat templates (Freytag, Story Circle)

## Priority
Medium

## Type
Feature","shape-mode,structure","Phase 3: Structure Layer"
"Scene-to-Beat Assignment","## Description
Allow assigning scenes to beats (many-to-one relationship).

## Acceptance Criteria
- [ ] Assign multiple scenes to a single beat
- [ ] Leave scenes unassigned (optional)
- [ ] Beats panel overlay showing scene-beat mapping
- [ ] Identify structural gaps or imbalances

## Priority
Medium

## Type
Feature","shape-mode,structure","Phase 3: Structure Layer"
"Structure Board Visualization","## Description
Visualize story structure with beats and scenes.

## Acceptance Criteria
- [ ] Visual representation of beats
- [ ] Scenes grouped under their assigned beats
- [ ] Unassigned scenes section
- [ ] Scene word count and evidence indicators

## Priority
Medium

## Type
Feature","shape-mode,ui","Phase 3: Structure Layer"
"Rich Text Editor","## Description
Build the core manuscript editor.

## Acceptance Criteria
- [ ] Rich text editing with basic formatting (bold, italic, headers)
- [ ] Scene-based document structure
- [ ] Auto-save functionality
- [ ] Word count display per scene and total
- [ ] Clean writing surface by default

## Priority
High

## Type
Feature","draft-mode,editor","Phase 4: Draft Editor"
"Scene List Panel","## Description
Implement the left panel showing scene list in DRAFT mode.

## Acceptance Criteria
- [ ] Scene list with word count progress
- [ ] Completion status indicators (✓ complete, ● in progress, ○ empty)
- [ ] Beat assignment display
- [ ] Quick navigation between scenes

## Priority
High

## Type
Feature","draft-mode,navigation","Phase 4: Draft Editor"
